Park Type,Wind farm,Turbine Platform,Turbine,Component Failed,Outage cause,Material number,Failed Component Serial number,New Component Serial number,Failure Mode,Component Commisioning Date,Turbine Stopp Date,Jackup Call-off Date,Component Exchange Date,Turbine start date,Estimated Lost Production,Estimated Lost Revenue,Work Order,Main Component Cost,Jackup Cost,Other Project Cost,Jackup vessel,Alarm code 1,Alarm code 2,Alarm code 3,Alarm code 4,Alarm code 5,Alarm code 6,Alarm code 7,Alarm code 8,Alarm code 9,Alarm code 10,Alarm code 11,Alarm code 12,Alarm code 13,Alarm code 14,Alarm code 15,Alarm code 16,Alarm code 17,Alarm code 18,Alarm code 19,Alarm code 20
Offshore,Kentish Flats,V90-3MW,UKFE02,Gearbox,,,EF901D-003L/LM0306,RW-EF901E-403L/LM0004,Serial Defect,,,,2009-01-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Kentish Flats,V90-3MW,UKFA02,Gearbox,,,EF901D-003L/LM0193,RW-EF901D-103L/LM0005,Serial Defect,,,,2009-01-04,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Kentish Flats,V90-3MW,UKFE05,Gearbox,,,EF901D-013L/LM0049,RW-EF901E-103L/LM0010,Serial Defect,,,,2009-01-07,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Kentish Flats,V90-3MW,UKFF04,Gearbox,,,RW-EF901C-001L/M0080,EF901E-013L/LM0073,Serial Defect,,,,2009-01-14,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Kentish Flats,V90-3MW,UKFA01,Gearbox,,,EF901D-013L/LM0021,EF901E-013L/LM0074,Serial Defect,,,,2009-01-20,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ001,Gearbox,,,EF901D-003L/LM0320,RW EF901D-103L/LM0011,Serial Defect,,2008-05-07,,2009-01-26,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ001,Generator,,,601097 TC 25,601097 TD 06,Serial Defect,,,,2009-01-26,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ005,Gearbox,,,EF901D-003L/LM0340,EF901E-013L/LM0079,Serial Defect,,2008-08-29,,2009-01-27,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1346,Gearbox,,"40074658, 40085066",,728003625,,,,,2009-02-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1351,Gearbox,,"40074658, 40085066",,728003627,,,,,2009-02-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1466,Gearbox,,"40074658, 40085066",,72802004580,,,,,2009-02-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1594,Gearbox,,"40074658, 40085066",,728003626,,,,,2009-02-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1598,Gearbox,,"40074658, 40085066",,728003624,,,,,2009-02-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ035,Generator,,,601097TD11,601097TD10,Serial Defect,,,,2009-02-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ036,Generator,,,601097TD12,600970TB08,Serial Defect,,,,2009-02-05,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Lyngsmose,"SWT-2,3MW",WLY001,Gearbox,,,,,,2008-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Lyngsmose,"SWT-2,3MW",WLY002,Gearbox,,,,,,2008-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Nørrekær Enge,"SWT-2,3MW",,Gearbox,,,,,,2009-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Nørrekær Enge,"SWT-2,3MW",,Generator,,,,,,2009-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Nørrekær Enge,"SWT-2,3MW",,Main bearing,,,,,,2009-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Nørrekær Enge,"SWT-2,3MW",,Main bearing,,,,,,2009-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Nørrekær Enge,"SWT-2,3MW",,Main bearing,,,,,,2009-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Nørrekær Enge,"SWT-2,3MW",,Main bearing,,,,,,2009-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Nørrekær Enge,"SWT-2,3MW",,Main bearing,,,,,,2009-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Nørrekær Enge,"SWT-2,3MW",,Main bearing,,,,,,2009-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Nørrekær Enge,"SWT-2,3MW",,Main bearing,,,,,,2009-01-01 00:00:00,,,2009-03-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ011,Gearbox,,,EF901D-003L/LM0323,RW EF901D-103L/LM0017,Serial Defect,,2008-08-29,,2009-03-31,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ013,Gearbox,,,EF901D-003L/LM0378,RW EF901D-103L/LM0026,Serial Defect,,2008-11-05,,2009-03-31,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ003,Gearbox,,,EF901D-003L/LM0351,RW EF901E-403L/LM0045,Serial Defect,,2009-03-16,,2009-04-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ017,Gearbox,,,EF901D-003L/LM0034,RW EF901E-403L/LM0044,Serial Defect,,2009-01-14,,2009-04-04,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ021,Gearbox,,,EF901D-003L/LM0317,RW EF901E-403L/LM0047,Serial Defect,,2009-01-27,,2009-04-11,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ008,Gearbox,,,EF901D-003L/LM0319,RW EF901E-403/LM0046,Serial Defect,,2008-11-21,,2009-04-20,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ032,Gearbox,,,EF901D-013L/LM0112,RW EF901E-403L/LM0025,Serial Defect,,2009-04-19,,2009-04-21,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ004,Generator,,,601097TC27,601097TC25,Serial Defect,,,,2009-04-22,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ031,Gearbox,,,EF901D-003L/LM0025,EF901E-013L/LM0184,Serial Defect,,2008-02-18,,2009-04-24,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ031,Generator,,,601097TD05,601258TL27,Serial Defect,,,,2009-04-24,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ015,Gearbox,,,EF901D-003L/LM0273,RW EF901E-403L/LM0051,Serial Defect,,2009-04-23,,2009-04-25,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Kentish Flats,V90-3MW,UKFE04,Gearbox,,,EF901D-013L/LM0047,RW-EF901E-403L/LM0023,Serial Defect,,,,2009-05-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ017,Generator,,,601097TD04,601097TD05,Serial Defect,,,,2009-07-15,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ016,Gearbox,,,EF901D-003L/LM0039,RW EF901E-403L/LM0052,Serial Defect,,2009-06-10,,2009-07-29,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
